chromosome	start	end	length	SV
Chr1	5679267	5681873	2606	DUP
Chr1	5680046	5680634	588	DUP
Chr1	5699958	5701078	1120	TL
Chr1	5732787	5732888	101	DEL
Chr1	5784733	5784785	52	INS
Chr1	5828621	5828672	51	INS
Chr1	5838998	5839105	107	INS
Chr1	5854756	5854809	53	DEL
Chr1	5798740	5799515	775	DUP
Chr1	5862948	5863512	564	DUP
Chr1	5915394	5916536	1142	DUP
Chr1	5974909	5975314	405	DUP
Chr1	5975539	5975741	202	DUP
Chr1	6140455	6141533	1078	DUP
Chr1	6140479	6141467	988	DUP
Chr1	6156400	6158865	2465	DUP
Chr1	6191529	6204497	12968	INV
Chr1	6236931	6237535	604	DUP
Chr1	6262614	6263389	775	DUP
Chr1	6376824	6376904	80	INS
Chr1	6402922	6403657	735	DUP
Chr1	6402922	6403659	737	DUP
Chr1	6425909	6426562	653	DUP
Chr1	6436657	6436707	50	INS
Chr1	6455332	6456016	684	DUP
Chr1	6538416	6543537	5121	DUP
Chr1	6538418	6538581	163	TL
Chr1	6538420	6543536	5116	DUP
Chr1	6571955	6572490	535	DUP
Chr1	6657159	6660358	3199	TL
Chr1	6704196	6708146	3950	DUP
Chr1	6722878	6723216	338	DUP
Chr1	7023545	7024508	963	DUP
Chr1	7025896	7026106	210	DUP
Chr1	7035191	7037257	2066	DUP
Chr1	7035191	7037290	2099	DUP
Chr1	7065650	7073709	8059	TL
Chr1	7131007	7131089	82	DEL
Chr1	7157997	7158047	50	DEL
Chr1	7138481	7138802	321	DUP
Chr1	7193587	7193920	333	DUP
Chr1	7199182	7199309	127	DUP
Chr1	7204168	7204466	298	DUP
Chr1	7254957	7257206	2249	DUP
Chr1	7255688	7256612	924	DUP
Chr1	7300951	7301003	52	INS
Chr1	7283579	7284082	503	DUP
Chr1	7352925	7365198	12273	DUP
Chr1	7392274	7393395	1121	DUP
Chr1	7427347	7427407	60	DEL
Chr1	7538587	7538646	59	DEL
Chr1	7474959	7475697	738	DUP
Chr1	7474959	7475699	740	DUP
Chr1	7543914	7544318	404	DUP
Chr1	7544544	7544952	408	DUP
Chr1	7714706	7715145	439	DUP
Chr1	7717356	7722548	5192	DUP
Chr1	7683546	7688631	5085	INS
Chr1	7725330	7725853	523	DUP
Chr1	7907760	7907855	95	DEL
Chr1	7908500	7909824	1324	DUP
Chr1	7959350	7961029	1679	TL
Chr1	7959352	7960473	1121	DUP
Chr1	7959927	7961259	1332	DUP
Chr1	7985123	7985856	733	DUP
Chr1	8114762	8116817	2055	DUP
Chr1	8114770	8116817	2047	DUP
Chr1	8089154	8089694	540	INS
Chr1	8189960	8190559	599	DUP
Chr1	8204719	8205497	778	DUP
Chr1	8235864	8237001	1137	DUP
Chr1	8278685	8279051	366	DUP
Chr1	8291663	8291985	322	DUP
Chr1	8374551	8375152	601	TL
Chr1	8374552	8375152	600	DUP
Chr1	8326521	8326612	91	INS
Chr1	8389959	8390034	75	DEL
Chr1	8451937	8452360	423	DUP
Chr1	8453486	8461798	8312	DUP
Chr1	8466230	8466725	495	DUP
Chr1	8475175	8476355	1180	DUP
Chr1	8480335	8480871	536	DUP
Chr1	8488397	8489414	1017	DUP
Chr1	8489414	8489951	537	DUP
Chr1	8489952	8490199	247	TL
Chr1	8492346	8492849	503	DUP
Chr1	8495258	8495736	478	TL
Chr1	8495261	8495736	475	DUP
Chr1	8496952	8497004	52	DEL
Chr1	8435423	8435782	359	INS
Chr1	8538881	8539764	883	DUP
Chr1	8538885	8539763	878	DUP
Chr1	8644352	8648102	3750	DUP
Chr1	8676343	8676980	637	DEL
Chr1	8601738	8602010	272	INS
Chr1	8733446	8733576	130	DUP
Chr1	8779084	8779453	369	DUP
Chr1	8779862	8787251	7389	DUP
Chr1	8790236	8791406	1170	DUP
Chr1	8791398	8794372	2974	DUP
Chr1	8794373	8797988	3615	DUP
Chr1	8797987	8798177	190	DUP
Chr1	8801612	8801981	369	DUP
Chr1	8802390	8809780	7390	DUP
Chr1	8815990	8816359	369	DUP
Chr1	8816768	8824158	7390	DUP
Chr1	8830368	8830737	369	DUP
Chr1	8927597	8927930	333	TL
Chr1	8830517	8830568	51	INS
Chr1	9004825	9015710	10885	TL
Chr1	9062084	9062520	436	DUP
Chr1	9062084	9062521	437	DUP
Chr1	9135060	9142483	7423	DUP
Chr1	9147166	9147575	409	DEL
Chr1	9053977	9054157	180	INS
Chr1	9138344	9138765	421	INS
Chr1	9304766	9305817	1051	DUP
Chr1	9330911	9331692	781	DUP
Chr1	9384160	9385033	873	TL
Chr1	9385318	9385543	225	DEL
Chr1	9418065	9418943	878	DUP
Chr1	9441916	9445890	3974	DUP
Chr1	9477450	9480634	3184	TL
Chr1	9547141	9549959	2818	DUP
Chr1	9547202	9551059	3857	DUP
Chr1	9574336	9575352	1016	DUP
Chr1	9582988	9584026	1038	DUP
Chr1	9676476	9691259	14783	TL
Chr1	9683566	9691257	7691	DUP
Chr1	9818858	9819434	576	DEL
Chr1	9840459	9840769	310	DEL
Chr1	9653391	9653443	52	INS
Chr1	9816210	9816804	594	DUP
Chr1	9817151	9817483	332	DUP
Chr1	9836508	9836833	325	DUP
Chr1	9865341	9867139	1798	DUP
Chr1	9890389	9890449	60	DEL
Chr1	9915357	9916487	1130	DUP
Chr1	10003780	10004817	1037	DUP
Chr1	10008136	10008190	54	DEL
Chr1	10021414	10021963	549	DUP
Chr1	9926055	9926594	539	INS
Chr1	10119877	10119935	58	DEL
Chr1	10152774	10156792	4018	DUP
Chr1	10002290	10002797	507	INS
Chr1	10146802	10146869	67	INS
Chr1	10440759	10441047	288	DEL
Chr1	10443987	10444089	102	DEL
Chr1	10444781	10444948	167	DEL
Chr1	10526176	10527214	1038	TL
Chr1	10527646	10529669	2023	DUP
Chr1	10594955	10595109	154	DUP
Chr1	10597666	10598315	649	DUP
Chr1	10598311	10599434	1123	DUP
Chr1	10598311	10599519	1208	DUP
Chr1	10603376	10603447	71	DEL
Chr1	10449206	10449275	69	INS
Chr1	10602557	10603452	895	DUP
Chr1	10723586	10725220	1634	TL
Chr5	14932730	14932786	56	INS
Chr1	10801531	10801649	118	DEL
Chr1	10802425	10803342	917	DUP
Chr1	10660224	10660364	140	INS
Chr1	10781106	10781746	640	INS
Chr1	10932193	10932679	486	DUP
Chr1	11005835	11006291	456	DUP
Chr1	11009314	11010324	1010	TL
Chr1	11016728	11016819	91	DEL
Chr1	11024272	11024323	51	DEL
Chr1	11043019	11043071	52	DEL
Chr1	11046642	11048107	1465	DUP
Chr1	11048697	11051473	2776	TL
Chr1	11053176	11053400	224	DEL
Chr1	11096898	11097057	159	TL
Chr1	11102330	11104012	1682	DUP
Chr1	10922631	10922752	121	INS
Chr1	11148091	11152835	4744	DEL
Chr1	10967032	10967095	63	INS
Chr1	11169867	11170178	311	DEL
Chr1	11170810	11172205	1395	DUP
Chr1	11170811	11172205	1394	DUP
Chr1	11003749	11004155	406	INS
Chr1	11225229	11225374	145	DEL
Chr1	11228621	11230613	1992	TL
Chr1	11241616	11241766	150	DUP
Chr1	11284148	11284315	167	DUP
Chr1	11286707	11287131	424	DUP
Chr1	11286966	11287670	704	DUP
Chr1	11287971	11288023	52	DEL
Chr1	11298498	11299440	942	DEL
Chr1	11301251	11301703	452	DUP
Chr1	11302262	11303743	1481	DUP
Chr1	11303740	11309351	5611	TL
Chr1	11309736	11309953	217	TL
Chr1	11315687	11315892	205	DUP
Chr1	11316060	11316611	551	DUP
Chr1	11103888	11103958	70	INS
Chr1	11116825	11117214	389	INS
Chr1	11120659	11121234	575	INS
Chr1	11134699	11134990	291	INS
Chr1	11351514	11352403	889	TL
Chr1	11351514	11352404	890	DUP
Chr1	11175102	11175317	215	INS
Chr1	11180042	11180095	53	INS
Chr1	11411779	11411833	54	DEL
Chr1	11408157	11410300	2143	DUP
Chr1	11427786	11428377	591	DUP
Chr1	11217836	11217890	54	INS
Chr1	11472712	11473084	372	DEL
Chr1	11454164	11454494	330	DUP
Chr1	11455802	11456075	273	DUP
Chr1	11456472	11456910	438	DUP
Chr1	11456472	11456947	475	DUP
Chr1	11456472	11456947	475	DUP
Chr1	11459663	11461791	2128	DUP
Chr1	11468257	11468830	573	DUP
Chr1	11503702	11507003	3301	DUP
Chr1	11508964	11512620	3656	DUP
Chr1	11521897	11522344	447	DUP
Chr1	11574183	11574249	66	DEL
Chr1	11349691	11349847	156	INS
Chr1	11598976	11599048	72	DEL
Chr1	11617492	11618128	636	DUP
Chr1	11617494	11618272	778	DUP
Chr1	11644782	11645236	454	DUP
Chr1	11645179	11645344	165	DUP
Chr1	11649263	11649913	650	TL
Chr1	11692738	11693068	330	DUP
Chr1	11699931	11700603	672	DUP
Chr1	11700728	11701727	999	DUP
Chr1	11703870	11705003	1133	DUP
Chr1	11711348	11711456	108	DEL
Chr1	11720538	11722437	1899	DUP
Chr1	11720538	11722447	1909	DUP
Chr1	11721210	11722438	1228	DUP
Chr1	11735587	11737399	1812	DUP
Chr1	11737058	11737389	331	DUP
Chr1	11782501	11783037	536	DUP
Chr1	11789452	11790282	830	DUP
Chr1	11803546	11804108	562	DUP
Chr1	11806181	11806714	533	DUP
Chr1	11807619	11808293	674	DEL
Chr1	11817658	11818015	357	DUP
Chr1	11834649	11836852	2203	DUP
Chr1	11846145	11846206	61	DEL
Chr1	11861392	11861741	349	DEL
Chr1	11671953	11672003	50	INS
Chr1	11887152	11892533	5381	TL
Chr1	11887421	11887797	376	TL
Chr1	11888403	11893190	4787	DUP
Chr1	11892792	11897711	4919	DUP
Chr1	11897706	11901704	3998	DUP
Chr1	11702540	11702804	264	INS
Chr1	11957939	11958234	295	DUP
Chr1	11958316	11959085	769	DUP
Chr1	11980306	11980890	584	DUP
Chr1	11981355	11982035	680	TL
Chr1	11987776	11988408	632	DUP
Chr1	12002907	12004308	1401	TL
Chr1	12005377	12005441	64	DEL
Chr1	12016036	12019996	3960	TL
Chr1	12016039	12020186	4147	DUP
Chr1	11865464	11865741	277	INS
Chr1	11866068	11866391	323	INS
Chr1	12084207	12084655	448	DUP
Chr1	12123792	12123856	64	DEL
Chr1	12138862	12142856	3994	DUP
Chr1	12139302	12139569	267	DUP
Chr1	12172515	12174811	2296	DUP
Chr1	12183404	12183995	591	TL
Chr1	12183714	12183993	279	DUP
Chr1	12219669	12220424	755	TL
Chr1	12248453	12251082	2629	DEL
Chr1	12254256	12254306	50	DEL
Chr1	12297767	12299178	1411	DUP
Chr1	12308117	12326896	18779	INV
Chr1	12313986	12314154	168	DEL
Chr1	12327927	12330053	2126	DUP
Chr1	12330789	12332472	1683	DUP
Chr1	12333646	12338482	4836	DUP
Chr1	12334416	12334835	419	DUP
Chr1	12334549	12334835	286	DUP
Chr1	12259388	12259446	58	INS
Chr1	12272923	12272976	53	INS
Chr1	12364135	12365992	1857	DUP
Chr1	12288958	12289009	51	INS
Chr1	12373458	12374091	633	DUP
Chr1	12410001	12410147	146	DUP
Chr1	12457720	12458228	508	DUP
Chr1	12483089	12483575	486	DUP
Chr1	12500396	12500915	519	DEL
Chr1	12562227	12564081	1854	TL
Chr1	12562563	12562800	237	DUP
Chr1	12463121	12463237	116	INS
Chr1	12488232	12488284	52	INS
Chr1	12488667	12488780	113	INS
Chr1	12566242	12568277	2035	DUP
Chr1	12566310	12567120	810	DUP
Chr1	12590705	12591584	879	DUP
Chr1	12612158	12612990	832	DEL
Chr1	12619524	12620981	1457	DUP
Chr1	12626044	12626456	412	DUP
Chr1	12626513	12629181	2668	DUP
Chr1	12628190	12629222	1032	DUP
Chr1	12638832	12639400	568	DUP
Chr1	12664515	12673969	9454	TL
Chr1	12674460	12684931	10471	DUP
Chr1	12699382	12702763	3381	DEL
Chr1	12713488	12721732	8244	DUP
Chr1	12721734	12728541	6807	DUP
Chr1	12722067	12728541	6474	DUP
Chr1	12612492	12612660	168	INS
Chr1	12614897	12614951	54	INS
Chr1	12617278	12617751	473	INS
Chr1	12622148	12622201	53	INS
Chr1	12754458	12755189	731	DUP
Chr1	12755060	12760389	5329	DUP
Chr1	12758746	12760009	1263	DUP
Chr1	12759102	12760009	907	DUP
Chr1	12775815	12789409	13594	DUP
Chr1	12786054	12796466	10412	DUP
Chr1	12649497	12649571	74	INS
Chr1	12819091	12819785	694	DUP
Chr1	12819635	12831622	11987	TL
Chr1	12823346	12839587	16241	TL
Chr1	12840271	12841120	849	DUP
Chr1	12853973	12855993	2020	TL
Chr1	12854278	12854684	406	DUP
Chr1	12873626	12874399	773	DUP
Chr1	12876014	12876912	898	TL
Chr1	12876197	12876930	733	DUP
Chr1	12876286	12876472	186	DUP
Chr1	12704508	12704559	51	INS
Chr1	12923928	12924246	318	DUP
Chr1	12923935	12924246	311	DUP
Chr1	12923935	12924246	311	DUP
Chr1	12942133	12942190	57	DEL
Chr1	12942845	12947011	4166	TL
Chr1	12958957	12959143	186	TL
Chr1	12959884	12960312	428	DUP
Chr1	12962970	12963428	458	DUP
Chr1	12968573	12968954	381	DEL
Chr1	12992985	12993595	610	DUP
Chr1	12992996	12993596	600	DUP
Chr1	12994587	12995558	971	TL
Chr1	12999199	12999599	400	TL
Chr1	13005237	13005524	287	DUP
Chr1	13007959	13008317	358	DUP
Chr1	13008738	13014615	5877	DUP
Chr1	13014662	13015083	421	TL
Chr1	13015850	13017571	1721	DUP
Chr1	13019156	13023662	4506	TL
Chr1	12934001	12934051	50	INS
Chr1	13064659	13064959	300	DUP
Chr1	13087460	13088087	627	DUP
Chr1	13102828	13102945	117	DUP
Chr1	13119398	13119731	333	DUP
Chr1	13131402	13139938	8536	DUP
Chr1	13138774	13140007	1233	DUP
Chr1	13016406	13016869	463	INS
Chr1	13160807	13162329	1522	DUP
Chr1	13162364	13162869	505	TL
Chr1	13164723	13165415	692	DEL
Chr1	13166268	13166829	561	TL
Chr1	13166814	13167302	488	DUP
Chr1	13172933	13192359	19426	TL
Chr1	13178584	13179470	886	DUP
Chr1	13178584	13179470	886	DUP
Chr1	13180612	13186855	6243	DUP
Chr1	13201252	13201352	100	DUP
Chr1	13211358	13214176	2818	DEL
Chr1	13216942	13217012	70	DEL
Chr1	13230752	13236244	5492	TL
Chr1	13230944	13232567	1623	DUP
Chr1	13230944	13234759	3815	DUP
Chr1	13231790	13235017	3227	DUP
Chr1	13241439	13242264	825	DUP
Chr1	13256925	13257272	347	DUP
Chr1	13259025	13260855	1830	DUP
Chr1	13259027	13260855	1828	DUP
Chr1	13269988	13276166	6178	DUP
Chr1	13281157	13282001	844	DUP
Chr1	13283531	13289091	5560	DUP
Chr1	13288524	13288737	213	DUP
Chr1	13288524	13288737	213	DUP
Chr1	13288524	13288737	213	DUP
Chr1	13293966	13294904	938	DUP
Chr1	13297935	13298709	774	DUP
Chr1	13299690	13299939	249	DUP
Chr1	13306002	13310356	4354	DUP
Chr1	13335592	13341620	6028	DEL
Chr1	13146466	13146584	118	INS
Chr1	13342811	13343440	629	DUP
Chr1	13347486	13356247	8761	DUP
Chr1	13169857	13169925	68	INS
Chr1	13348587	13349200	613	DUP
Chr1	13371474	13386481	15007	DUP
Chr1	13399781	13400165	384	DUP
Chr1	13407453	13408255	802	DUP
Chr1	13408253	13409317	1064	DUP
Chr1	13239016	13239093	77	INS
Chr1	13437407	13438133	726	DEL
Chr1	13304714	13304802	88	INS
Chr1	13305059	13305936	877	INS
Chr1	13477109	13477813	704	DUP
Chr1	13478391	13478646	255	DUP
Chr1	13482748	13485907	3159	TL
Chr1	13483276	13487917	4641	DUP
Chr1	13486035	13490414	4379	DUP
Chr1	13324804	13325249	445	INS
Chr1	13337280	13337354	74	INS
Chr1	13507199	13507779	580	DUP
Chr1	13507567	13507779	212	DUP
Chr1	13515964	13516583	619	DUP
Chr1	13422777	13422836	59	INS
Chr1	13593742	13594281	539	DUP
Chr1	13597675	13598436	761	TL
Chr1	13597784	13598404	620	DUP
Chr1	13597784	13598404	620	DUP
Chr1	13598486	13599710	1224	DUP
Chr1	13598489	13599710	1221	DUP
Chr1	13621996	13622309	313	DUP
Chr1	13629449	13632478	3029	DUP
Chr1	13639176	13640249	1073	DUP
Chr1	13472526	13472591	65	INS
Chr1	13705675	13705947	272	DEL
Chr1	13723025	13723078	53	DEL
Chr1	13648996	13653617	4621	DUP
Chr1	13652320	13653751	1431	DUP
Chr1	13708371	13709759	1388	DUP
Chr1	13711057	13711664	607	DUP
Chr1	13711060	13712500	1440	DUP
Chr1	13711662	13712500	838	DUP
Chr1	13711662	13712501	839	DUP
Chr1	13734686	13738534	3848	DUP
Chr1	13734686	13738534	3848	DUP
Chr1	13738231	13742423	4192	DUP
Chr1	13616075	13616142	67	INS
Chr1	13786216	13786281	65	DEL
Chr1	13777099	13777586	487	DUP
Chr1	13777587	13779732	2145	DUP
Chr1	13781659	13783798	2139	DUP
Chr1	13781720	13783798	2078	DUP
Chr1	13781897	13784763	2866	DUP
Chr1	13790757	13793495	2738	DUP
Chr1	13793497	13794584	1087	DUP
Chr1	13796499	13801460	4961	DUP
Chr1	13798723	13799439	716	DUP
Chr1	13808353	13808606	253	DUP
Chr1	13817267	13817601	334	DUP
Chr1	13818567	13823888	5321	DUP
Chr1	13681852	13681924	72	INS
Chr1	13713837	13714055	218	INS
Chr1	13869873	13870445	572	DUP
Chr1	13905199	13905415	216	DUP
Chr1	13906217	13906970	753	DUP
Chr1	13913065	13917508	4443	DUP
Chr1	13913622	13916895	3273	DUP
Chr1	13920721	13922104	1383	DUP
Chr1	13920722	13920958	236	DUP
Chr1	13920975	13921456	481	DUP
Chr1	13920975	13922104	1129	DUP
Chr1	13920975	13922104	1129	DUP
Chr1	13921279	13922104	825	DUP
Chr1	13921403	13922104	701	DUP
Chr1	13930762	13932497	1735	DUP
Chr1	13932495	13936774	4279	DUP
Chr1	13940859	13942229	1370	DUP
Chr1	13946579	13947032	453	DUP
Chr1	13949035	13949232	197	TL
Chr1	13949530	13950719	1189	TL
Chr1	13827673	13827778	105	INS
Chr1	13978679	13978765	86	DEL
Chr1	13953032	13955633	2601	DUP
Chr1	13958916	13959437	521	DUP
Chr1	13962061	13962946	885	DUP
Chr1	13993096	13993195	99	DUP
Chr1	14042093	14042570	477	DUP
Chr1	14044745	14045934	1189	DUP
Chr1	14062503	14063867	1364	DUP
Chr1	14070997	14073412	2415	DUP
Chr1	14081810	14082588	778	DUP
Chr1	14098634	14099514	880	DUP
Chr1	14000897	14000983	86	INS
Chr1	14130624	14130873	249	DEL
Chr1	14018598	14018671	73	INS
Chr1	14167108	14167365	257	DEL
Chr1	14179395	14179453	58	DEL
Chr1	14190649	14190707	58	DEL
Chr1	14101140	14101806	666	DUP
Chr1	14122983	14123281	298	DUP
Chr1	14127035	14128349	1314	DUP
Chr1	14127213	14128349	1136	DUP
Chr1	14215165	14218107	2942	DUP
Chr1	14218419	14220306	1887	DUP
Chr1	14220464	14224550	4086	DUP
Chr1	14220499	14223420	2921	DUP
Chr1	14105526	14105910	384	INS
Chr1	14235744	14239195	3451	DUP
Chr1	14237693	14239642	1949	DUP
Chr1	14237901	14239642	1741	DUP
Chr1	14238146	14239642	1496	DUP
Chr1	14239515	14239642	127	DUP
Chr1	14239515	14239642	127	DUP
Chr1	14246544	14247483	939	DUP
Chr1	14247484	14248336	852	TL
Chr1	14248949	14251959	3010	DUP
Chr1	14254197	14255256	1059	DUP
Chr1	14258820	14260568	1748	DUP
Chr1	14260140	14261079	939	DUP
Chr1	14260389	14261082	693	DUP
Chr1	14261081	14261590	509	DUP
Chr1	14261081	14263558	2477	DUP
Chr1	14270947	14272660	1713	DUP
Chr1	14272494	14273750	1256	DUP
Chr1	14155190	14155251	61	INS
Chr1	14161427	14162320	893	INS
Chr1	14181006	14181061	55	INS
Chr1	14298877	14299842	965	DUP
Chr1	14308764	14309162	398	DUP
Chr1	14309152	14309405	253	DUP
Chr1	14313975	14315124	1149	DUP
Chr1	14315125	14316637	1512	DUP
Chr1	14316749	14317336	587	DUP
Chr1	14316749	14317336	587	TL
Chr1	14317335	14319699	2364	TL
Chr1	14320068	14320856	788	DUP
Chr1	14326765	14327704	939	DUP
Chr1	14328173	14329579	1406	DUP
Chr1	14328730	14329278	548	TL
Chr1	14328930	14329809	879	DUP
Chr1	14334336	14335076	740	DUP
Chr1	14335775	14340228	4453	DUP
Chr1	14337801	14340228	2427	TL
Chr1	14339749	14340058	309	DUP
Chr1	14340232	14340693	461	DUP
Chr1	14340694	14340820	126	DUP
Chr1	14340820	14341290	470	DUP
Chr1	14341731	14343364	1633	DUP
Chr1	14342093	14343812	1719	DUP
Chr1	14343874	14344610	736	DUP
Chr1	14343874	14349130	5256	DUP
Chr1	14349480	14350415	935	DUP
Chr1	14350103	14350706	603	DUP
Chr1	14354722	14355658	936	DUP
Chr1	14354728	14355658	930	DUP
Chr1	14355661	14356763	1102	DUP
Chr1	14356440	14356798	358	DUP
Chr1	14356799	14357642	843	DUP
Chr1	14357645	14359712	2067	DUP
Chr1	14358823	14361947	3124	TL
Chr1	14360554	14361990	1436	DUP
Chr1	14360778	14362046	1268	DUP
Chr1	14361155	14361868	713	DUP
Chr1	14364218	14364672	454	DUP
Chr1	14364466	14365601	1135	DUP
Chr1	14369026	14369516	490	DUP
Chr1	14370779	14373802	3023	DUP
Chr1	14371273	14372867	1594	DUP
Chr1	14372148	14374096	1948	DUP
Chr1	14373814	14375118	1304	TL
Chr1	14375767	14376764	997	DUP
Chr1	14376435	14377202	767	DUP
Chr1	14379523	14380837	1314	DUP
Chr1	14381665	14382906	1241	DUP
Chr1	14383838	14384014	176	DUP
Chr1	14384015	14384141	126	DUP
Chr1	14384141	14384611	470	DUP
Chr1	14385052	14386685	1633	DUP
Chr1	14385396	14388363	2967	DUP
Chr1	14388248	14394783	6535	DUP
Chr1	14395133	14396068	935	DUP
Chr1	14400375	14401311	936	DUP
Chr1	14401314	14402416	1102	DUP
Chr1	14402452	14403295	843	DUP
Chr1	14403298	14405365	2067	DUP
Chr1	14405813	14407600	1787	DUP
Chr1	14406807	14407704	897	DUP
Chr1	14409871	14410325	454	DUP
Chr1	14414679	14415169	490	DUP
Chr1	14416432	14419455	3023	DUP
Chr1	14419697	14420771	1074	DUP
Chr1	14421420	14422417	997	DUP
Chr1	14422088	14422855	767	DUP
Chr1	14424083	14425004	921	DUP
Chr1	14425176	14426490	1314	DUP
Chr1	14427318	14428559	1241	DUP
Chr1	14429064	14430489	1425	DUP
Chr1	14430559	14430805	246	DUP
Chr1	14431162	14432186	1024	DUP
Chr1	14432223	14435072	2849	DUP
Chr1	14434229	14435072	843	TL
Chr1	14435073	14437386	2313	DUP
Chr1	14437452	14438302	850	DUP
Chr1	14438304	14440993	2689	DUP
Chr1	14439461	14441537	2076	TL
Chr1	14442967	14446356	3389	DUP
Chr1	14449192	14449773	581	DUP
Chr1	14449766	14450308	542	DUP
Chr1	14450060	14451470	1410	TL
Chr1	14451534	14451891	357	DUP
Chr1	14452185	14453569	1384	DUP
Chr1	14452278	14455245	2967	DUP
Chr1	14452714	14453567	853	DUP
Chr1	14453004	14456092	3088	DUP
Chr1	14454012	14457006	2994	DUP
Chr1	14455130	14461676	6546	DUP
Chr1	14462975	14463850	875	DUP
Chr1	14466067	14466433	366	DUP
Chr1	14466437	14467278	841	DUP
Chr1	14467263	14467530	267	DUP
Chr1	14468482	14470210	1728	DUP
Chr1	14470658	14472331	1673	DUP
Chr1	14471894	14472547	653	DUP
Chr1	14474725	14475247	522	DUP
Chr1	14475246	14475977	731	DUP
Chr1	14475634	14476323	689	DUP
Chr1	14478944	14480394	1450	DUP
Chr1	14481116	14482058	942	DUP
Chr1	14482594	14483780	1186	DUP
Chr1	14486160	14486672	512	DUP
Chr1	14487437	14488365	928	DUP
Chr1	14488366	14488593	227	DUP
Chr1	14488368	14489410	1042	TL
Chr1	14489797	14491342	1545	DUP
Chr1	14490133	14491651	1518	TL
Chr1	14491787	14492098	311	DUP
Chr1	14492097	14492869	772	DUP
Chr1	14493076	14493556	480	DUP
Chr1	14493471	14498688	5217	TL
Chr1	14498681	14498854	173	DUP
Chr1	14499172	14499839	667	TL
